Protein	geneSymbol	diseaseName	diseaseClass	disease
Matrix metalloproteinase-9	MMP9	Cytotoxic Cerebral Edema	C10	Заболевания нервной системы
Matrix metalloproteinase-9	MMP9	Vasogenic Brain Edema	C10	Заболевания нервной системы
Matrix metalloproteinase-9	MMP9	Cytotoxic Brain Edema	C10	Заболевания нервной системы
Matrix metalloproteinase-9	MMP9	Brain Edema	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Parkinson Disease	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Parkinsonian Disorders	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Ramsay Hunt Paralysis Syndrome	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Neurodegenerative Disorders	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Autosomal Dominant Juvenile Parkinson Disease	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Autosomal Dominant Parkinsonism	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Autosomal Recessive Parkinsonism	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Parkinsonism, Experimental	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Familial Juvenile Parkinsonism	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Parkinsonism, Juvenile	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	Tauopathies	C10	Заболевания нервной системы
Microtubule-associated protein tau	MAPT	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE	C10	Заболевания нервной системы
Myelin basic protein	MBP	Demyelinating Diseases	C10	Заболевания нервной системы
Myelin basic protein	MBP	Demyelination	C10	Заболевания нервной системы
Myelin basic protein	MBP	Clinically Isolated Syndrome, CNS Demyelinating	C10	Заболевания нервной системы
Osteopontin	SPP1	Leukoencephalopathy	C10	Заболевания нервной системы
Osteopontin	SPP1	Childhood Ataxia with Central Nervous System Hypomyelinization	C10	Заболевания нервной системы
Proenkephalin-A	PENK	nervous system disorder	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Parkinson Disease	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Parkinsonian Disorders	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Ramsay Hunt Paralysis Syndrome	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Autosomal Dominant Juvenile Parkinson Disease	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Autosomal Dominant Parkinsonism	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Autosomal Recessive Parkinsonism	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Parkinsonism, Experimental	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Familial Juvenile Parkinsonism	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	Parkinsonism, Juvenile	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET	C10	Заболевания нервной системы
Protein_deglycase_DJ-1	PARK7	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE	C10	Заболевания нервной системы
Serum paraoxonase/arylesterase 1	PON1	Secondary Parkinson Disease	C10	Заболевания нервной системы
Serum paraoxonase/arylesterase 1	PON1	Parkinson Disease, Secondary Vascular	C10	Заболевания нервной системы
Serum paraoxonase/arylesterase 1	PON1	Atherosclerotic Parkinsonism	C10	Заболевания нервной системы
Stromelysin-1	MMP3	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Alpha-2-HS-glycoprotein	AHSG	Alopecia-Mental Retardation Syndrome 1	C10	Заболевания нервной системы
Alpha-2-HS-glycoprotein	AHSG	Perniola Krajewska Carnevale syndrome	C10	Заболевания нервной системы
Alpha-2-HS-glycoprotein	AHSG	AMR Syndrome	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Alzheimer's Disease	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Presenile dementia	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Hepatolenticular Degeneration	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Familial Alzheimer Disease (FAD)	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Alzheimer Disease, Late Onset	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Acute Confusional Senile Dementia	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Alzheimer's Disease, Focal Onset	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Alzheimer Disease, Early Onset	C10	Заболевания нервной системы
Alpha-2-macroglobulin	A2M	Hepatic Form of Wilson Disease	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Cerebral Thrombosis	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Intracranial Thrombosis	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Brain Thrombosis	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Brain Thrombus	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Cerebral Thrombus	C10	Заболевания нервной системы
Antithrombin-III	SERPINC1	Cerebral Hemorrhage	C10	Заболевания нервной системы
Apolipoprotein A-I	APOA1	Cerebrovascular accident	C10	Заболевания нервной системы
Apolipoprotein A-I	APOA1	Acute Cerebrovascular Accidents	C10	Заболевания нервной системы
Apolipoprotein A-I	APOA1	Ataxia with vitamin E deficiency	C10	Заболевания нервной системы
Apolipoprotein B-100	APOB	Ataxia with vitamin E deficiency	C10	Заболевания нервной системы
Apolipoprotein(a)	LPA	Cerebrovascular accident	C10	Заболевания нервной системы
Apolipoprotein(a)	LPA	Acute Cerebrovascular Accidents	C10	Заболевания нервной системы
Biotinidase	BTD	hearing impairment	C10	Заболевания нервной системы
C-reactive protein	CRP	Arsenic Poisoning, Inorganic	C10	Заболевания нервной системы
C-reactive protein	CRP	Nervous System, Organic Arsenic Poisoning	C10	Заболевания нервной системы
C-reactive protein	CRP	Arsenic Poisoning	C10	Заболевания нервной системы
C-reactive protein	CRP	Arsenic Encephalopathy	C10	Заболевания нервной системы
C-reactive protein	CRP	Arsenic Induced Polyneuropathy	C10	Заболевания нервной системы
Calcitonin	CALCA	Catalepsy	C10	Заболевания нервной системы
Calcitonin	CALCA	Down Syndrome	C10	Заболевания нервной системы
Calcitonin	CALCA	Hyperalgesia	C10	Заболевания нервной системы
Calcitonin	CALCA	Profound Mental Retardation	C10	Заболевания нервной системы
Calcitonin	CALCA	Mental Retardation, Psychosocial	C10	Заболевания нервной системы
Calcitonin	CALCA	Trigeminal Neuralgia	C10	Заболевания нервной системы
Calcitonin	CALCA	Waxy flexibility	C10	Заболевания нервной системы
Calcitonin	CALCA	Trigeminal Neuralgia, Idiopathic	C10	Заболевания нервной системы
Calcitonin	CALCA	Secondary Trigeminal Neuralgia	C10	Заболевания нервной системы
Calcitonin	CALCA	Down Syndrome, Partial Trisomy 21	C10	Заболевания нервной системы
Calcitonin	CALCA	Trisomy 21, Meiotic Nondisjunction	C10	Заболевания нервной системы
Calcitonin	CALCA	Allodynia	C10	Заболевания нервной системы
Calcitonin	CALCA	Neurogenic Inflammation	C10	Заболевания нервной системы
Calcitonin	CALCA	Trisomy 21, Mitotic Nondisjunction	C10	Заболевания нервной системы
Calcitonin	CALCA	Hyperalgesia, Primary	C10	Заболевания нервной системы
Calcitonin	CALCA	Hyperalgesia, Secondary	C10	Заболевания нервной системы
Calcitonin	CALCA	Tactile Allodynia	C10	Заболевания нервной системы
Calcitonin	CALCA	Hyperalgesia, Thermal	C10	Заболевания нервной системы
Calcitonin	CALCA	Hyperkinesia, Generalized	C10	Заболевания нервной системы
